S(t),I(t),H(t),C(t),R(t),D(t),date
53079135.0,960291.7142857143,42581.42857142857,4256.428571428572,1947796.5714285714,1125.5714285714287,2021-01-18
53042435.0,956519.8571428572,42997.0,4339.857142857143,1986430.857142857,1149.0,2021-01-19
53010019.0,947712.7142857143,43303.857142857145,4403.571428571428,2028729.5714285714,1160.142857142857,2021-01-20
52980646.0,934865.1428571428,43482.42857142857,4460.142857142857,2073643.0,1166.4285714285713,2021-01-21
52953145.0,918332.4285714285,43583.857142857145,4515.0,2120803.5714285714,1169.2857142857142,2021-01-22
52932844.0,898146.1428571428,43604.71428571428,4563.285714285715,2170506.4285714286,1154.857142857143,2021-01-23
52917054.0,875359.8571428572,43596.71428571428,4609.0,2221254.5714285714,1135.7142857142858,2021-01-24
52889301.0,846361.7142857143,43418.0,4641.571428571428,2276250.0,1121.857142857143,2021-01-25
52864278.0,817826.2857142857,43157.0,4658.857142857143,2329156.0,1080.4285714285713,2021-01-26
52840569.0,789739.2857142857,42640.71428571428,4665.714285714285,2380393.4285714286,1056.7142857142858,2021-01-27
52818223.0,760670.5714285715,42113.142857142855,4665.142857142857,2431624.714285714,1040.7142857142858,2021-01-28
52798038.0,728556.2857142857,41398.57142857143,4632.571428571428,2484882.285714286,1014.8571428571429,2021-01-29
52782629.0,698527.0,40692.0,4593.285714285715,2535389.714285714,981.1428571428571,2021-01-30
52768581.0,670735.4285714285,39867.28571428572,4535.142857142857,2583442.714285714,949.0,2021-01-31
52747973.0,644477.8571428572,39064.28571428572,4490.0,2628978.8571428573,911.1428571428571,2021-02-01
52729923.0,619242.0,38184.142857142855,4436.142857142857,2672525.714285714,882.5714285714286,2021-02-02
52712108.0,594717.2857142857,37391.28571428572,4392.428571428572,2714552.1428571427,849.8571428571429,2021-02-03
52695525.0,570645.2857142857,36511.142857142855,4345.857142857143,2755355.0,797.4285714285714,2021-02-04
52681205.0,546601.5714285715,35626.857142857145,4300.285714285715,2795329.5714285714,759.5714285714286,2021-02-05
52670317.0,523118.0,34618.28571428572,4235.571428571428,2834129.714285714,728.0,2021-02-06
52659913.0,500139.85714285716,33671.57142857143,4183.0,2871938.4285714286,693.4285714285714,2021-02-07
52645631.0,477945.0,32697.285714285714,4110.571428571428,2908088.285714286,665.2857142857143,2021-02-08
52633039.0,456289.71428571426,31739.14285714286,4042.285714285714,2942950.714285714,633.4285714285714,2021-02-09
52620872.0,435232.0,30759.285714285714,3962.714285714286,2976442.285714286,599.8571428571429,2021-02-10
52609311.0,414903.0,29794.428571428572,3875.8571428571427,3008508.1428571427,579.4285714285714,2021-02-11
52598407.0,395555.28571428574,28825.571428571428,3783.1428571428573,3039136.0,548.1428571428571,2021-02-12
52590430.0,376928.4285714286,27869.285714285714,3693.0,3068652.5714285714,522.7142857142857,2021-02-13
52582690.0,359494.4285714286,26922.0,3614.0,3096614.4285714286,504.0,2021-02-14
52569825.0,343844.0,25933.714285714286,3541.0,3122611.714285714,482.57142857142856,2021-02-15
52558636.0,329640.14285714284,25005.714285714286,3462.714285714286,3146982.285714286,462.2857142857143,2021-02-16
52548310.0,316416.0,24169.0,3376.5714285714284,3170132.714285714,439.7142857142857,2021-02-17
52538073.0,304011.0,23368.571428571428,3293.4285714285716,3192295.285714286,419.2857142857143,2021-02-18
52528907.0,292398.0,22630.428571428572,3214.4285714285716,3213438.5714285714,398.2857142857143,2021-02-19
52521781.0,281347.0,22010.428571428572,3133.285714285714,3233916.714285714,379.85714285714283,2021-02-20
52514789.0,270427.71428571426,21352.571428571428,3045.714285714286,3254178.1428571427,358.0,2021-02-21
52504567.0,260145.2857142857,20714.714285714286,2957.285714285714,3273456.714285714,326.42857142857144,2021-02-22
52496091.0,250462.85714285713,20084.571428571428,2867.4285714285716,3291767.714285714,306.42857142857144,2021-02-23
